Logger_type,Serial_No,Field_ID,Deployment_date,Location,Lat,Lon,Elevation,Nearest Phenocam,Calibrated (Y/N),Site Description,Notes
HOBO_Metstation,21419291,HOBO_Collison_Head,2022-07-19,Collison Head,69.5758,-138.865,71.155,"QHI_05, QHI_06",Y,Approximately halfway between Herschel and Komakuk composition plots,
HOBO_Metstation,21419290,HOBO_Phenology_Ridge,2022-07-20,Phenology Ridge,,,,"QHI_01, QHI_02",Y,Missing soil moisture probe. Curse you Emily Greene!,
HOBO_LightPendant,21420275,L1,2022-07-18,Phenology Ridge,69.5755,-138.9044,,QHI_01,Y,Salix phenology transect,
HOBO_LightPendant,21420208,L2,2022-07-18,Phenology Ridge,69.5757,-138.9053,,QHI_02,Y,Dryas phenology transect,
HOBO_LightPendant,21420264,L3,2022-07-18,Phenology Ridge,69.5757,-138.9053,,QHI_03,Y,Eriophorum phenology transect,
HOBO_LightPendant,21420261,L4,2022-07-20,Creek,69.575,-138.895,-1.7681,QHI_04,Y,,
HOBO_LightPendant,21420262,L5,2022-07-19,Collison Head,69.5765,-138.867,73.5279,QHI_05 ,Y,Komakuk composition plots,
HOBO_LightPendant,21420210,L6,2022-07-19,Collison Head,69.5765,-138.867,73.5279,QHI_06,Y,Herschel composition plots,
HOBO_LightPendant,21420276,L7,2022-07-21,Creek,69.5761,-138.8891,15.0401,QHI_07,Y,,
HOBO_LightPendant,21420263,L8,2022-07-21,Creek,69.5771,-138.8909,16.742,QHI_08,Y,,
HOBO_LightPendant,21420209,L9,2022-07-21,Floodplain,69.57,-138.9028,2.431,QHI_09,Y,,
HOBO_LightPendant,21420274,L10,2022-07-22,Creek/Phenology Ridge,69.576,-138.901,14.6254,QHI_10,Y,,
TOMST,,TOMST_01,2022-07-18,Phenology Ridge,69.5755,-138.9044,,QHI_01,Y,Salix phenology transect,
TOMST,94217233,TOMST_02,2022-07-18,Phenology Ridge,69.5757,-138.9052,,QHI_02,Y,Dryas phenology transect,Broken and removed 23 June 2023 for downloading.
TOMST,94217231,TOMST_03,2022-07-18,Phenology Ridge,69.5776,-138.9127,,QHI_03,Y,Eriophorum phenology transect,
TOMST,94217235,TOMST_04,2022-07-20,Ice Creek,69.5749,-138.895,-0.5694,QHI_04,Y,Ice Creek East above the creek,
TOMST,,TOMST_05,2022-07-19,Collison Head,69.5765,-138.867,70.8261,QHI_05 ,Y,Komakuk composition plots,
TOMST,94217255,TOMST_06,2022-07-19,Collison Head,69.5748,-138.8631,67.3395,QHI_06,Y,Herschel composition plots,
TOMST,94217234,TOMST_07,2022-07-21,Ice Creek,69.5761,-138.8891,14.9914,QHI_07,Y,"Ice Creek East, east slope",
TOMST,94217253,TOMST_08,2022-07-21,Ice Creek,69.5771,-138.8909,17.1234,QHI_08,Y,"Ice Creek East, west slope with Cassiope",
TOMST,94217251,TOMST_09,2022-07-21,Floodplain,69.5698,-138.9028,-4.8141,QHI_09,Y,Flood plain near Mission House,
TOMST,94217252,TOMST_10,2022-07-22,Creek/Phenology Ridge,69.5759,-138.901,13.4866,QHI_10,Y,"In shrub, Elon Musk spot",
TOMST,94217225,TOMST_11,2022-07-25,Floodplain,69.5719,-138.894,49.1343,QHI_11,Y,Flood plain near fox den,Lost to a retrogressive permafrost thaw slump in summer 2025. 
TOMST,94217224,TOMST_12,2022-07-25,Bowhead Ridge,69.5816,-138.8696,86.9362,QHI_12,Y,Bowhead Ridge Herschel veg type,
TOMST,94217223,TOMST_13,2022-07-25,Bowhead Ridge,69.5827,-138.8705,115.3769,QHI_13,Y,Bowhead Ridge Komakuk veg type,
TOMST,94217222,TOMST_14,2022-07-26,Ice Creek,69.5751,-138.8947,3.8393,QHI_14 (shrubcam),Y,Ice Creek East in the creek repeat photo location,Broke June 13 2024
TOMST,94217221,TOMST_15,2022-07-26,PS3 back streets,69.5843,-138.9187,112.74,QHI_15,Y,"PS3 back streets, herschel veg type",
TOMST,94217212,TOMST_16,2022-07-26,PS3 back streets,69.5829,-138.917,119.1384,QHI_16,Y,"PS3 back streets, komakuk veg type",
TOMST,94217213,TOMST_17,2022-07-26,Ice Creek,69.5824,-138.9107,45.47,QHI_17,Y,"Ice Creek West, west slope",
TOMST,94217214,TOMST_18,2022-07-26,Ice Creek,69.5823,-138.9067,31.8469,QHI_18,Y,"Ice Creek West, east slope",
TOMST,94217230,TOMST_19,2022-07-26,East Gully,69.5731,-138.8794,28.1536,QHI_19,Y,"East Gully, west side",
TOMST,94217229,TOMST_20,2022-07-26,East Gully,69.5726,-138.8755,22.6194,QHI_20,Y,"East Gully, east side",
TOMST,94217228,TOMST_21,2022-07-26,East Gully,69.5752,-138.8753,44.9054,,Y,"Top of East Gully, west side",
TOMST,94217227,TOMST_22,2022-07-26,East Gully,69.5751,-138.8744,45.107,,Y,"Top of East Gully, east side",
TOMST,94217226,TOMST_23,2022-07-26,Ice Creek,69.5842,-138.9077,28.6913,,Y,"Ice Creek West back streets, east slope",
TOMST,94217245,TOMST_24,2022-07-26,Ice Creek,69.5846,-138.911,42.1626,,Y,"Ice Creek West back streets, west slope",
TOMST,94217244,TOMST_25,2022-07-27,Ice Creek,69.5819,-138.8934,27.5255,,Y,"Ice Creek East back streets, west slope",
TOMST,94217243,TOMST_26,2022-07-27,Ice Creek,69.5812,-138.8894,32.1844,,Y,"Ice Creek East back streets, east slope",
TOMST,94217242,TOMST_27,2022-07-27,Floodplain,69.5705,-138.8979,-8.8581,,Y,Above the floodplain near the coast on the slope with the fox den at the top,
TOMST,94217241,TOMST_28,2022-07-27,Floodplain,69.572,-138.8896,3.62,,Y,Near the fox den towards the coast at the top of the slope,
TOMST,94217240,TOMST_29,2022-07-27,Top of slope,69.5738,-138.885,38.0671,,Y,Before East Gully at the top of the slope,
TOMST,94217239,TOMST_30,2022-07-27,Top of slope,69.5769,-138.8756,62.0893,,Y,Behind East Gully on top of the plateau,
TOMST,94217238,TOMST_31,2022-07-27,,69.5784,-138.8713,69.9039,,Y,Behind KO plots to the west side,
